initial_claims,continued_claims,week_ending,Appalachia
44,316,2020-01-04,No
46,307,2020-01-11,No
32,276,2020-01-18,No
33,276,2020-02-01,No
26,257,2020-02-08,No
31,271,2020-02-15,No
25,259,2020-02-22,No
68,258,2020-02-29,No
35,284,2020-03-07,No
35,262,2020-03-14,No
1212,265,2020-03-21,No
2963,1173,2020-03-28,No
2075,3835,2020-04-04,No
1137,5393,2020-04-11,No
738,5975,2020-04-18,No
567,6255,2020-04-25,No
391,6204,2020-05-02,No
306,5776,2020-05-09,No
315,5410,2020-05-16,No
275,4929,2020-05-23,No
204,4340,2020-05-30,No
183,3612,2020-06-06,No
177,3180,2020-06-13,No
227,2677,2020-06-20,No
299,2639,2020-06-27,No
251,2523,2020-07-04,No
188,2421,2020-07-11,No
164,2337,2020-07-18,No
156,2256,2020-07-25,No
185,2089,2020-08-01,No
128,1948,2020-08-08,No
117,1797,2020-08-15,No
106,1678,2020-08-22,No
127,1581,2020-08-29,No
80,1501,2020-09-05,No
90,1454,2020-09-12,No
67,1419,2020-09-19,No
91,1391,2020-09-26,No
81,1011,2020-10-03,No
115,920,2020-10-10,No
92,802,2020-10-17,No
146,761,2020-10-24,No
125,767,2020-10-31,No
168,775,2020-11-07,No
125,767,2020-11-14,No
213,785,2020-11-21,No
153,748,2020-11-28,No
211,769,2020-12-05,No
207,745,2020-12-12,No
171,781,2020-12-19,No
119,744,2020-12-26,No
206,795,2021-01-02,No
209,988,2021-01-09,No
303,963,2021-01-16,No
282,957,2021-01-23,No
292,810,2021-01-30,No
954,851,2021-02-06,No
1051,907,2021-02-13,No
677,1031,2021-02-20,No
923,1030,2021-02-27,No
1038,1026,2021-03-06,No
934,1091,2021-03-13,No
584,1270,2021-03-20,No
631,1182,2021-03-27,No
368,1097,2021-04-03,No
190,925,2021-04-10,No
161,743,2021-04-17,No
183,737,2021-04-24,No
120,692,2021-05-01,No
144,640,2021-05-08,No
104,592,2021-05-15,No
116,584,2021-05-22,No
100,569,2021-05-29,No
96,525,2021-06-05,No
92,514,2021-06-12,No
