initial_claims,continued_claims,week_ending,Appalachia
53,344,2020-01-04,No
40,354,2020-01-11,No
23,323,2020-01-18,No
27,280,2020-02-01,No
23,266,2020-02-08,No
56,262,2020-02-15,No
53,314,2020-02-22,No
20,316,2020-02-29,No
30,303,2020-03-07,No
16,287,2020-03-14,No
365,290,2020-03-21,No
1170,553,2020-03-28,No
578,1605,2020-04-04,No
382,2081,2020-04-11,No
215,2225,2020-04-18,No
165,2228,2020-04-25,No
106,2141,2020-05-02,No
116,1946,2020-05-09,No
90,1834,2020-05-16,No
89,1507,2020-05-23,No
67,1395,2020-05-30,No
97,1191,2020-06-06,No
63,986,2020-06-13,No
65,836,2020-06-20,No
72,724,2020-06-27,No
106,708,2020-07-04,No
95,723,2020-07-11,No
58,706,2020-07-18,No
65,685,2020-07-25,No
55,607,2020-08-01,No
31,558,2020-08-08,No
50,535,2020-08-15,No
34,484,2020-08-22,No
61,479,2020-08-29,No
40,470,2020-09-05,No
28,448,2020-09-12,No
24,425,2020-09-19,No
57,409,2020-09-26,No
46,348,2020-10-03,No
44,289,2020-10-10,No
40,275,2020-10-17,No
64,262,2020-10-24,No
71,255,2020-10-31,No
83,238,2020-11-07,No
71,255,2020-11-14,No
108,290,2020-11-21,No
79,352,2020-11-28,No
106,349,2020-12-05,No
88,395,2020-12-12,No
94,407,2020-12-19,No
118,425,2020-12-26,No
98,499,2021-01-02,No
90,596,2021-01-09,No
85,555,2021-01-16,No
97,532,2021-01-23,No
112,483,2021-01-30,No
212,498,2021-02-06,No
204,478,2021-02-13,No
