initial_claims,continued_claims,week_ending,Appalachia
13,117,2020-01-04,Yes
13,116,2020-01-11,Yes
8,104,2020-01-18,Yes
4,107,2020-02-01,Yes
5,98,2020-02-08,Yes
4,106,2020-02-15,Yes
6,94,2020-02-22,Yes
4,104,2020-02-29,Yes
4,88,2020-03-07,Yes
6,101,2020-03-14,Yes
235,91,2020-03-21,Yes
477,258,2020-03-28,Yes
344,677,2020-04-04,Yes
168,928,2020-04-11,Yes
119,982,2020-04-18,Yes
82,973,2020-04-25,Yes
60,931,2020-05-02,Yes
41,850,2020-05-09,Yes
60,723,2020-05-16,Yes
47,685,2020-05-23,Yes
24,564,2020-05-30,Yes
26,523,2020-06-06,Yes
23,459,2020-06-13,Yes
38,407,2020-06-20,Yes
32,384,2020-06-27,Yes
33,381,2020-07-04,Yes
30,378,2020-07-11,Yes
11,387,2020-07-18,Yes
18,349,2020-07-25,Yes
29,362,2020-08-01,Yes
22,358,2020-08-08,Yes
14,279,2020-08-15,Yes
11,276,2020-08-22,Yes
12,258,2020-08-29,Yes
15,239,2020-09-05,Yes
20,234,2020-09-12,Yes
11,247,2020-09-19,Yes
8,230,2020-09-26,Yes
12,159,2020-10-03,Yes
14,159,2020-10-10,Yes
16,114,2020-10-17,Yes
14,125,2020-10-24,Yes
15,109,2020-10-31,Yes
42,105,2020-11-07,Yes
15,109,2020-11-14,Yes
28,117,2020-11-21,Yes
44,137,2020-11-28,Yes
35,143,2020-12-05,Yes
45,146,2020-12-12,Yes
39,157,2020-12-19,Yes
29,219,2020-12-26,Yes
41,181,2021-01-02,Yes
41,216,2021-01-09,Yes
59,199,2021-01-16,Yes
76,217,2021-01-23,Yes
69,209,2021-01-30,Yes
135,220,2021-02-06,Yes
131,212,2021-02-13,Yes
80,226,2021-02-20,Yes
91,220,2021-02-27,Yes
76,206,2021-03-06,Yes
70,217,2021-03-13,Yes
81,193,2021-03-20,Yes
41,157,2021-03-27,Yes
26,142,2021-04-03,Yes
13,128,2021-04-10,Yes
