initial_claims,continued_claims,week_ending,Appalachia
138,717,2020-01-04,Yes
51,603,2020-01-11,Yes
23,363,2020-01-18,Yes
25,325,2020-02-01,Yes
36,300,2020-02-08,Yes
59,325,2020-02-15,Yes
26,366,2020-02-22,Yes
17,333,2020-02-29,Yes
16,322,2020-03-07,Yes
55,331,2020-03-14,Yes
261,333,2020-03-21,Yes
564,499,2020-03-28,Yes
454,1001,2020-04-04,Yes
289,1323,2020-04-11,Yes
171,1412,2020-04-18,Yes
175,1482,2020-04-25,Yes
122,1486,2020-05-02,Yes
89,1440,2020-05-09,Yes
97,1348,2020-05-16,Yes
124,1230,2020-05-23,Yes
87,1116,2020-05-30,Yes
75,1072,2020-06-06,Yes
50,931,2020-06-13,Yes
102,872,2020-06-20,Yes
95,867,2020-06-27,Yes
47,799,2020-07-04,Yes
71,822,2020-07-11,Yes
66,823,2020-07-18,Yes
59,776,2020-07-25,Yes
70,768,2020-08-01,Yes
41,711,2020-08-08,Yes
46,675,2020-08-15,Yes
54,683,2020-08-22,Yes
38,620,2020-08-29,Yes
51,610,2020-09-05,Yes
93,585,2020-09-12,Yes
65,690,2020-09-19,Yes
36,552,2020-09-26,Yes
41,404,2020-10-03,Yes
54,360,2020-10-10,Yes
47,305,2020-10-17,Yes
43,340,2020-10-24,Yes
51,285,2020-10-31,Yes
50,259,2020-11-07,Yes
51,285,2020-11-14,Yes
71,265,2020-11-21,Yes
201,304,2020-11-28,Yes
136,451,2020-12-05,Yes
98,398,2020-12-12,Yes
81,413,2020-12-19,Yes
99,435,2020-12-26,Yes
104,458,2021-01-02,Yes
87,568,2021-01-09,Yes
95,568,2021-01-16,Yes
128,576,2021-01-23,Yes
97,435,2021-01-30,Yes
260,494,2021-02-06,Yes
181,478,2021-02-13,Yes
164,498,2021-02-20,Yes
124,526,2021-02-27,Yes
112,476,2021-03-06,Yes
94,449,2021-03-13,Yes
66,390,2021-03-20,Yes
83,397,2021-03-27,Yes
61,372,2021-04-03,Yes
291,327,2021-04-10,Yes
42,492,2021-04-17,Yes
39,269,2021-04-24,Yes
37,235,2021-05-01,Yes
38,222,2021-05-08,Yes
48,217,2021-05-15,Yes
34,209,2021-05-22,Yes
50,186,2021-05-29,Yes
40,209,2021-06-05,Yes
41,207,2021-06-12,Yes
