initial_claims,continued_claims,week_ending,Appalachia
220,1699,2020-01-04,No
183,1847,2020-01-11,No
146,1677,2020-01-18,No
141,1730,2020-02-01,No
135,1784,2020-02-08,No
134,1702,2020-02-15,No
113,1806,2020-02-22,No
110,1703,2020-02-29,No
122,1798,2020-03-07,No
144,1648,2020-03-14,No
5035,1752,2020-03-21,No
5299,5515,2020-03-28,No
4252,10123,2020-04-04,No
2781,13107,2020-04-11,No
1863,14707,2020-04-18,No
1730,15321,2020-04-25,No
1096,14748,2020-05-02,No
915,14220,2020-05-09,No
923,13361,2020-05-16,No
825,12076,2020-05-23,No
613,10899,2020-05-30,No
647,10089,2020-06-06,No
567,9599,2020-06-13,No
684,9106,2020-06-20,No
648,8980,2020-06-27,No
648,8539,2020-07-04,No
584,8629,2020-07-11,No
564,8380,2020-07-18,No
546,8802,2020-07-25,No
470,8168,2020-08-01,No
412,7611,2020-08-08,No
425,7243,2020-08-15,No
343,7024,2020-08-22,No
332,6769,2020-08-29,No
376,6622,2020-09-05,No
249,6303,2020-09-12,No
278,6092,2020-09-19,No
264,5933,2020-09-26,No
337,4338,2020-10-03,No
333,3839,2020-10-10,No
380,3341,2020-10-17,No
280,3131,2020-10-24,No
308,2943,2020-10-31,No
597,2673,2020-11-07,No
308,2943,2020-11-14,No
688,2977,2020-11-21,No
625,2823,2020-11-28,No
857,3232,2020-12-05,No
704,3301,2020-12-12,No
615,3421,2020-12-19,No
550,3472,2020-12-26,No
549,3962,2021-01-02,No
685,4826,2021-01-09,No
752,4592,2021-01-16,No
873,4708,2021-01-23,No
926,3528,2021-01-30,No
3016,3672,2021-02-06,No
3888,3859,2021-02-13,No
2465,4402,2021-02-20,No
3658,4336,2021-02-27,No
4122,4312,2021-03-06,No
2840,4471,2021-03-13,No
2108,5334,2021-03-20,No
1489,4779,2021-03-27,No
1130,3757,2021-04-03,No
448,3111,2021-04-10,No
