initial_claims,continued_claims,week_ending,Appalachia
30,221,2020-01-04,Yes
35,248,2020-01-11,Yes
32,202,2020-01-18,Yes
20,185,2020-02-01,Yes
20,207,2020-02-08,Yes
19,182,2020-02-15,Yes
13,195,2020-02-22,Yes
12,172,2020-02-29,Yes
15,181,2020-03-07,Yes
13,152,2020-03-14,Yes
312,172,2020-03-21,Yes
436,340,2020-03-28,Yes
540,730,2020-04-04,Yes
438,1047,2020-04-11,Yes
262,1312,2020-04-18,Yes
236,1385,2020-04-25,Yes
132,1323,2020-05-02,Yes
112,1230,2020-05-09,Yes
92,1140,2020-05-16,Yes
78,1004,2020-05-23,Yes
95,908,2020-05-30,Yes
64,876,2020-06-06,Yes
54,913,2020-06-13,Yes
57,788,2020-06-20,Yes
63,781,2020-06-27,Yes
37,728,2020-07-04,Yes
53,758,2020-07-11,Yes
57,736,2020-07-18,Yes
54,753,2020-07-25,Yes
55,705,2020-08-01,Yes
64,683,2020-08-08,Yes
49,673,2020-08-15,Yes
48,660,2020-08-22,Yes
46,635,2020-08-29,Yes
37,616,2020-09-05,Yes
26,527,2020-09-12,Yes
27,524,2020-09-19,Yes
46,479,2020-09-26,Yes
45,372,2020-10-03,Yes
52,316,2020-10-10,Yes
49,306,2020-10-17,Yes
58,299,2020-10-24,Yes
55,293,2020-10-31,Yes
91,310,2020-11-07,Yes
55,293,2020-11-14,Yes
96,314,2020-11-21,Yes
80,363,2020-11-28,Yes
116,336,2020-12-05,Yes
155,348,2020-12-12,Yes
120,330,2020-12-19,Yes
81,377,2020-12-26,Yes
108,363,2021-01-02,Yes
120,460,2021-01-09,Yes
168,528,2021-01-16,Yes
247,440,2021-01-23,Yes
187,357,2021-01-30,Yes
616,403,2021-02-06,Yes
501,417,2021-02-13,Yes
307,437,2021-02-20,Yes
301,451,2021-02-27,Yes
371,374,2021-03-06,Yes
272,418,2021-03-13,Yes
182,382,2021-03-20,Yes
162,364,2021-03-27,Yes
108,354,2021-04-03,Yes
77,307,2021-04-10,Yes
79,320,2021-04-17,Yes
61,258,2021-04-24,Yes
39,233,2021-05-01,Yes
47,216,2021-05-08,Yes
33,221,2021-05-15,Yes
87,220,2021-05-22,Yes
152,191,2021-05-29,Yes
562,197,2021-06-05,Yes
207,298,2021-06-12,Yes
