initial_claims,continued_claims,week_ending,Appalachia
32,244,2020-01-04,No
32,255,2020-01-11,No
21,243,2020-01-18,No
27,235,2020-02-01,No
7,235,2020-02-08,No
17,249,2020-02-15,No
21,218,2020-02-22,No
13,233,2020-02-29,No
14,213,2020-03-07,No
15,216,2020-03-14,No
560,214,2020-03-21,No
1139,605,2020-03-28,No
1800,1633,2020-04-04,No
1999,3202,2020-04-11,No
1434,4874,2020-04-18,No
831,6025,2020-04-25,No
294,6389,2020-05-02,No
216,6425,2020-05-09,No
173,6092,2020-05-16,No
195,4420,2020-05-23,No
124,2678,2020-05-30,No
113,2318,2020-06-06,No
106,1982,2020-06-13,No
144,1741,2020-06-20,No
165,1483,2020-06-27,No
277,1551,2020-07-04,No
163,1436,2020-07-11,No
90,1311,2020-07-18,No
93,1194,2020-07-25,No
79,1147,2020-08-01,No
56,1021,2020-08-08,No
70,987,2020-08-15,No
49,935,2020-08-22,No
48,857,2020-08-29,No
52,845,2020-09-05,No
43,808,2020-09-12,No
40,788,2020-09-19,No
32,715,2020-09-26,No
48,524,2020-10-03,No
57,431,2020-10-10,No
42,382,2020-10-17,No
45,405,2020-10-24,No
71,320,2020-10-31,No
91,353,2020-11-07,No
71,320,2020-11-14,No
111,387,2020-11-21,No
77,375,2020-11-28,No
109,391,2020-12-05,No
134,366,2020-12-12,No
111,417,2020-12-19,No
62,436,2020-12-26,No
59,459,2021-01-02,No
108,551,2021-01-09,No
168,563,2021-01-16,No
139,600,2021-01-23,No
125,522,2021-01-30,No
326,430,2021-02-06,No
