initial_claims,continued_claims,week_ending,Appalachia
159,959,2020-01-04,No
151,1080,2020-01-11,No
109,1031,2020-01-18,No
101,1025,2020-02-01,No
98,1073,2020-02-08,No
92,1024,2020-02-15,No
81,1078,2020-02-22,No
100,1000,2020-02-29,No
79,1058,2020-03-07,No
108,982,2020-03-14,No
3384,1029,2020-03-21,No
4057,3539,2020-03-28,No
3236,7042,2020-04-04,No
2163,9457,2020-04-11,No
1552,10790,2020-04-18,No
1341,11447,2020-04-25,No
900,11059,2020-05-02,No
741,10638,2020-05-09,No
625,9862,2020-05-16,No
539,8856,2020-05-23,No
472,7888,2020-05-30,No
453,7382,2020-06-06,No
374,6827,2020-06-13,No
394,6298,2020-06-20,No
445,6100,2020-06-27,No
406,5769,2020-07-04,No
393,5776,2020-07-11,No
367,5578,2020-07-18,No
358,5646,2020-07-25,No
300,5263,2020-08-01,No
253,4875,2020-08-08,No
249,4631,2020-08-15,No
240,4488,2020-08-22,No
245,4296,2020-08-29,No
235,4175,2020-09-05,No
212,3968,2020-09-12,No
206,3955,2020-09-19,No
179,3739,2020-09-26,No
214,2793,2020-10-03,No
241,2393,2020-10-10,No
176,2219,2020-10-17,No
207,1912,2020-10-24,No
237,1916,2020-10-31,No
299,1731,2020-11-07,No
237,1916,2020-11-14,No
362,1835,2020-11-21,No
355,1739,2020-11-28,No
468,1853,2020-12-05,No
456,1976,2020-12-12,No
369,1988,2020-12-19,No
358,2007,2020-12-26,No
401,2236,2021-01-02,No
551,2813,2021-01-09,No
543,2831,2021-01-16,No
638,2873,2021-01-23,No
