initial_claims,continued_claims,week_ending,Appalachia
13,95,2020-01-04,No
7,98,2020-01-11,No
16,108,2020-01-18,No
40,97,2020-02-01,No
17,137,2020-02-08,No
8,124,2020-02-15,No
12,127,2020-02-22,No
16,123,2020-02-29,No
14,133,2020-03-07,No
18,126,2020-03-14,No
416,124,2020-03-21,No
1004,428,2020-03-28,No
828,1308,2020-04-04,No
552,2016,2020-04-11,No
602,2335,2020-04-18,No
296,2739,2020-04-25,No
147,2708,2020-05-02,No
144,2454,2020-05-09,No
171,2314,2020-05-16,No
219,2003,2020-05-23,No
185,1704,2020-05-30,No
106,1476,2020-06-06,No
135,1379,2020-06-13,No
116,1279,2020-06-20,No
99,1111,2020-06-27,No
122,1048,2020-07-04,No
152,1104,2020-07-11,No
97,1052,2020-07-18,No
74,996,2020-07-25,No
73,857,2020-08-01,No
46,761,2020-08-08,No
51,715,2020-08-15,No
35,686,2020-08-22,No
44,608,2020-08-29,No
47,558,2020-09-05,No
46,529,2020-09-12,No
43,518,2020-09-19,No
36,491,2020-09-26,No
44,455,2020-10-03,No
41,329,2020-10-10,No
41,305,2020-10-17,No
38,267,2020-10-24,No
48,300,2020-10-31,No
66,250,2020-11-07,No
48,300,2020-11-14,No
61,262,2020-11-21,No
56,233,2020-11-28,No
55,225,2020-12-05,No
68,222,2020-12-12,No
65,225,2020-12-19,No
63,234,2020-12-26,No
58,272,2021-01-02,No
106,327,2021-01-09,No
88,350,2021-01-16,No
103,356,2021-01-23,No
102,281,2021-01-30,No
299,325,2021-02-06,No
