initial_claims,continued_claims,week_ending,Appalachia
37,263,2020-01-04,No
24,295,2020-01-11,No
21,264,2020-01-18,No
11,266,2020-02-01,No
12,265,2020-02-08,No
15,249,2020-02-15,No
11,231,2020-02-22,No
24,230,2020-02-29,No
15,228,2020-03-07,No
25,228,2020-03-14,No
507,216,2020-03-21,No
842,592,2020-03-28,No
616,1354,2020-04-04,No
462,1812,2020-04-11,No
309,2062,2020-04-18,No
208,2245,2020-04-25,No
140,2115,2020-05-02,No
124,2058,2020-05-09,No
103,1892,2020-05-16,No
93,1640,2020-05-23,No
116,1415,2020-05-30,No
81,1228,2020-06-06,No
54,1052,2020-06-13,No
69,950,2020-06-20,No
69,870,2020-06-27,No
86,869,2020-07-04,No
71,861,2020-07-11,No
44,862,2020-07-18,No
47,786,2020-07-25,No
59,779,2020-08-01,No
37,714,2020-08-08,No
43,707,2020-08-15,No
37,644,2020-08-22,No
27,644,2020-08-29,No
40,619,2020-09-05,No
31,636,2020-09-12,No
25,574,2020-09-19,No
35,562,2020-09-26,No
41,442,2020-10-03,No
39,394,2020-10-10,No
33,317,2020-10-17,No
47,300,2020-10-24,No
49,312,2020-10-31,No
60,281,2020-11-07,No
49,312,2020-11-14,No
74,335,2020-11-21,No
86,324,2020-11-28,No
116,378,2020-12-05,No
88,388,2020-12-12,No
77,409,2020-12-19,No
76,404,2020-12-26,No
61,432,2021-01-02,No
90,549,2021-01-09,No
100,518,2021-01-16,No
96,515,2021-01-23,No
111,438,2021-01-30,No
235,436,2021-02-06,No
184,457,2021-02-13,No
