initial_claims,continued_claims,week_ending,Appalachia
10,68,2020-01-04,No
20,80,2020-01-11,No
10,62,2020-01-18,No
7,61,2020-02-01,No
6,66,2020-02-08,No
8,55,2020-02-15,No
5,69,2020-02-22,No
10,51,2020-02-29,No
7,72,2020-03-07,No
13,58,2020-03-14,No
110,71,2020-03-21,No
607,145,2020-03-28,No
316,695,2020-04-04,No
195,937,2020-04-11,No
118,1032,2020-04-18,No
102,1027,2020-04-25,No
60,1011,2020-05-02,No
69,878,2020-05-09,No
66,908,2020-05-16,No
48,749,2020-05-23,No
48,726,2020-05-30,No
39,622,2020-06-06,No
19,484,2020-06-13,No
45,450,2020-06-20,No
49,369,2020-06-27,No
80,361,2020-07-04,No
57,454,2020-07-11,No
41,406,2020-07-18,No
30,323,2020-07-25,No
34,345,2020-08-01,No
16,286,2020-08-08,No
22,266,2020-08-15,No
18,242,2020-08-22,No
22,233,2020-08-29,No
14,234,2020-09-05,No
10,217,2020-09-12,No
6,199,2020-09-19,No
18,193,2020-09-26,No
11,154,2020-10-03,No
12,153,2020-10-10,No
16,109,2020-10-17,No
22,101,2020-10-24,No
23,102,2020-10-31,No
32,112,2020-11-07,No
23,102,2020-11-14,No
48,129,2020-11-21,No
34,122,2020-11-28,No
45,145,2020-12-05,No
75,139,2020-12-12,No
35,120,2020-12-19,No
26,134,2020-12-26,No
47,151,2021-01-02,No
57,206,2021-01-09,No
44,192,2021-01-16,No
77,196,2021-01-23,No
