initial_claims,continued_claims,week_ending,Appalachia
27,305,2020-01-04,Yes
28,300,2020-01-11,Yes
25,257,2020-01-18,Yes
25,244,2020-02-01,Yes
21,250,2020-02-08,Yes
40,255,2020-02-15,Yes
14,280,2020-02-22,Yes
12,265,2020-02-29,Yes
15,259,2020-03-07,Yes
23,258,2020-03-14,Yes
261,263,2020-03-21,Yes
504,415,2020-03-28,Yes
461,909,2020-04-04,Yes
289,1270,2020-04-11,Yes
182,1432,2020-04-18,Yes
152,1512,2020-04-25,Yes
118,1496,2020-05-02,Yes
81,1481,2020-05-09,Yes
69,1395,2020-05-16,Yes
73,1232,2020-05-23,Yes
55,1137,2020-05-30,Yes
70,1032,2020-06-06,Yes
63,900,2020-06-13,Yes
42,827,2020-06-20,Yes
36,760,2020-06-27,Yes
29,731,2020-07-04,Yes
45,727,2020-07-11,Yes
36,658,2020-07-18,Yes
33,659,2020-07-25,Yes
55,695,2020-08-01,Yes
24,652,2020-08-08,Yes
29,594,2020-08-15,Yes
30,582,2020-08-22,Yes
27,580,2020-08-29,Yes
26,532,2020-09-05,Yes
30,537,2020-09-12,Yes
37,518,2020-09-19,Yes
23,533,2020-09-26,Yes
34,356,2020-10-03,Yes
33,278,2020-10-10,Yes
27,233,2020-10-17,Yes
34,218,2020-10-24,Yes
37,229,2020-10-31,Yes
51,230,2020-11-07,Yes
37,229,2020-11-14,Yes
46,236,2020-11-21,Yes
58,254,2020-11-28,Yes
77,333,2020-12-05,Yes
77,266,2020-12-12,Yes
71,315,2020-12-19,Yes
68,309,2020-12-26,Yes
62,346,2021-01-02,Yes
65,467,2021-01-09,Yes
73,460,2021-01-16,Yes
76,450,2021-01-23,Yes
62,375,2021-01-30,Yes
214,327,2021-02-06,Yes
