initial_claims,continued_claims,week_ending,Appalachia
160,1199,2020-01-04,No
136,1246,2020-01-11,No
107,1208,2020-01-18,No
98,1217,2020-02-01,No
100,1180,2020-02-08,No
92,1169,2020-02-15,No
75,1161,2020-02-22,No
84,1167,2020-02-29,No
100,1159,2020-03-07,No
100,1160,2020-03-14,No
2737,1131,2020-03-21,No
3643,3170,2020-03-28,No
2936,6198,2020-04-04,No
1846,8376,2020-04-11,No
1385,9401,2020-04-18,No
1279,9938,2020-04-25,No
853,9581,2020-05-02,No
634,9225,2020-05-09,No
557,8495,2020-05-16,No
481,7657,2020-05-23,No
417,6652,2020-05-30,No
420,6272,2020-06-06,No
378,5733,2020-06-13,No
411,5450,2020-06-20,No
470,5346,2020-06-27,No
344,5224,2020-07-04,No
391,5099,2020-07-11,No
372,5051,2020-07-18,No
380,5006,2020-07-25,No
321,4859,2020-08-01,No
261,4458,2020-08-08,No
281,4382,2020-08-15,No
205,4071,2020-08-22,No
212,4060,2020-08-29,No
164,3804,2020-09-05,No
174,3731,2020-09-12,No
199,3557,2020-09-19,No
193,3454,2020-09-26,No
180,2613,2020-10-03,No
197,2251,2020-10-10,No
166,1915,2020-10-17,No
222,1914,2020-10-24,No
220,1816,2020-10-31,No
317,1623,2020-11-07,No
220,1816,2020-11-14,No
352,1651,2020-11-21,No
378,1664,2020-11-28,No
506,1923,2020-12-05,No
473,1938,2020-12-12,No
376,1936,2020-12-19,No
350,2005,2020-12-26,No
356,2255,2021-01-02,No
457,2849,2021-01-09,No
444,2707,2021-01-16,No
499,2820,2021-01-23,No
581,2112,2021-01-30,No
1711,2231,2021-02-06,No
