initial_claims,continued_claims,week_ending,Appalachia
118,633,2020-01-04,No
72,635,2020-01-11,No
84,496,2020-01-18,No
36,495,2020-02-01,No
67,468,2020-02-08,No
45,466,2020-02-15,No
36,477,2020-02-22,No
58,460,2020-02-29,No
33,505,2020-03-07,No
37,443,2020-03-14,No
887,431,2020-03-21,No
2273,1082,2020-03-28,No
1468,3078,2020-04-04,No
919,4348,2020-04-11,No
532,4797,2020-04-18,No
437,5028,2020-04-25,No
310,4889,2020-05-02,No
285,4650,2020-05-09,No
242,4397,2020-05-16,No
200,3973,2020-05-23,No
176,3557,2020-05-30,No
178,3080,2020-06-06,No
118,2601,2020-06-13,No
145,2220,2020-06-20,No
166,2049,2020-06-27,No
171,1850,2020-07-04,No
174,1860,2020-07-11,No
154,1689,2020-07-18,No
170,1788,2020-07-25,No
131,1632,2020-08-01,No
101,1490,2020-08-08,No
117,1418,2020-08-15,No
122,1312,2020-08-22,No
97,1310,2020-08-29,No
103,1234,2020-09-05,No
108,1247,2020-09-12,No
110,1181,2020-09-19,No
86,1120,2020-09-26,No
94,856,2020-10-03,No
98,722,2020-10-10,No
123,651,2020-10-17,No
99,714,2020-10-24,No
135,637,2020-10-31,No
197,639,2020-11-07,No
135,637,2020-11-14,No
218,731,2020-11-21,No
232,765,2020-11-28,No
249,885,2020-12-05,No
206,823,2020-12-12,No
221,790,2020-12-19,No
254,830,2020-12-26,No
335,1037,2021-01-02,No
202,1311,2021-01-09,No
221,1082,2021-01-16,No
224,1066,2021-01-23,No
188,893,2021-01-30,No
592,879,2021-02-06,No
