initial_claims,continued_claims,week_ending,Appalachia
46,384,2020-01-04,No
38,399,2020-01-11,No
41,347,2020-01-18,No
41,336,2020-02-01,No
52,348,2020-02-08,No
26,335,2020-02-15,No
15,333,2020-02-22,No
106,314,2020-02-29,No
33,371,2020-03-07,No
26,306,2020-03-14,No
720,298,2020-03-21,No
2676,849,2020-03-28,No
1419,3245,2020-04-04,No
780,4378,2020-04-11,No
582,4722,2020-04-18,No
494,4914,2020-04-25,No
266,4747,2020-05-02,No
235,4519,2020-05-09,No
253,4167,2020-05-16,No
203,3613,2020-05-23,No
175,3089,2020-05-30,No
172,2642,2020-06-06,No
167,2226,2020-06-13,No
173,2003,2020-06-20,No
196,1788,2020-06-27,No
205,1730,2020-07-04,No
266,1700,2020-07-11,No
195,1714,2020-07-18,No
164,1703,2020-07-25,No
167,1538,2020-08-01,No
123,1426,2020-08-08,No
132,1321,2020-08-15,No
141,1277,2020-08-22,No
145,1244,2020-08-29,No
114,1179,2020-09-05,No
102,1133,2020-09-12,No
98,1044,2020-09-19,No
87,1033,2020-09-26,No
93,785,2020-10-03,No
93,672,2020-10-10,No
91,590,2020-10-17,No
120,536,2020-10-24,No
136,620,2020-10-31,No
141,548,2020-11-07,No
136,620,2020-11-14,No
193,556,2020-11-21,No
165,662,2020-11-28,No
184,655,2020-12-05,No
155,701,2020-12-12,No
160,664,2020-12-19,No
182,638,2020-12-26,No
166,713,2021-01-02,No
138,904,2021-01-09,No
176,803,2021-01-16,No
191,830,2021-01-23,No
171,641,2021-01-30,No
461,672,2021-02-06,No
407,712,2021-02-13,No
