initial_claims,continued_claims,week_ending,Appalachia
445,3024,2020-01-04,No
491,3213,2020-01-11,No
339,2968,2020-01-18,No
350,3514,2020-02-01,No
333,2931,2020-02-08,No
239,2855,2020-02-15,No
230,2791,2020-02-22,No
566,2768,2020-02-29,No
329,3018,2020-03-07,No
240,2761,2020-03-14,No
7091,2707,2020-03-21,No
8530,8092,2020-03-28,No
7033,15397,2020-04-04,No
5398,20401,2020-04-11,No
3459,23365,2020-04-18,No
3321,24528,2020-04-25,No
2233,23891,2020-05-02,No
1644,22451,2020-05-09,No
1916,21102,2020-05-16,No
1724,19616,2020-05-23,No
1205,17380,2020-05-30,No
1218,16579,2020-06-06,No
1154,14839,2020-06-13,No
1358,14246,2020-06-20,No
1526,13923,2020-06-27,No
1384,13564,2020-07-04,No
1070,13200,2020-07-11,No
1099,12774,2020-07-18,No
979,12764,2020-07-25,No
848,12071,2020-08-01,No
758,11163,2020-08-08,No
764,10716,2020-08-15,No
566,10339,2020-08-22,No
681,9704,2020-08-29,No
592,9525,2020-09-05,No
549,8919,2020-09-12,No
705,9305,2020-09-19,No
675,8845,2020-09-26,No
669,6643,2020-10-03,No
724,5999,2020-10-10,No
559,5251,2020-10-17,No
583,4770,2020-10-24,No
666,4715,2020-10-31,No
750,4255,2020-11-07,No
666,4715,2020-11-14,No
953,4402,2020-11-21,No
1118,4282,2020-11-28,No
1191,4821,2020-12-05,No
1285,4832,2020-12-12,No
951,4752,2020-12-19,No
897,4861,2020-12-26,No
910,5429,2021-01-02,No
990,6591,2021-01-09,No
1134,6424,2021-01-16,No
1372,6414,2021-01-23,No
