initial_claims,continued_claims,week_ending,Appalachia
26,184,2020-01-04,No
19,190,2020-01-11,No
19,190,2020-01-18,No
24,186,2020-02-01,No
19,203,2020-02-08,No
13,201,2020-02-15,No
9,183,2020-02-22,No
17,189,2020-02-29,No
12,176,2020-03-07,No
19,166,2020-03-14,No
732,160,2020-03-21,No
821,684,2020-03-28,No
1035,1371,2020-04-04,No
1367,2243,2020-04-11,No
1151,3276,2020-04-18,No
988,4116,2020-04-25,No
284,4782,2020-05-02,No
175,4701,2020-05-09,No
167,4383,2020-05-16,No
179,3027,2020-05-23,No
97,1918,2020-05-30,No
96,1640,2020-06-06,No
83,1509,2020-06-13,No
105,1351,2020-06-20,No
74,1184,2020-06-27,No
128,1145,2020-07-04,No
98,1210,2020-07-11,No
55,1146,2020-07-18,No
77,1167,2020-07-25,No
85,1047,2020-08-01,No
64,1005,2020-08-08,No
103,939,2020-08-15,No
50,952,2020-08-22,No
37,838,2020-08-29,No
37,797,2020-09-05,No
43,821,2020-09-12,No
40,801,2020-09-19,No
43,765,2020-09-26,No
56,574,2020-10-03,No
57,552,2020-10-10,No
45,465,2020-10-17,No
65,414,2020-10-24,No
80,417,2020-10-31,No
79,376,2020-11-07,No
80,417,2020-11-14,No
110,386,2020-11-21,No
100,391,2020-11-28,No
103,450,2020-12-05,No
135,429,2020-12-12,No
108,422,2020-12-19,No
76,424,2020-12-26,No
81,438,2021-01-02,No
124,551,2021-01-09,No
155,530,2021-01-16,No
219,547,2021-01-23,No
