initial_claims,continued_claims,week_ending,Appalachia
34,210,2020-01-04,Yes
21,213,2020-01-11,Yes
16,157,2020-01-18,Yes
13,149,2020-02-01,Yes
27,152,2020-02-08,Yes
29,167,2020-02-15,Yes
5,182,2020-02-22,Yes
6,165,2020-02-29,Yes
4,164,2020-03-07,Yes
29,150,2020-03-14,Yes
77,172,2020-03-21,Yes
242,208,2020-03-28,Yes
203,418,2020-04-04,Yes
122,605,2020-04-11,Yes
66,670,2020-04-18,Yes
69,706,2020-04-25,Yes
44,716,2020-05-02,Yes
29,657,2020-05-09,Yes
30,638,2020-05-16,Yes
43,553,2020-05-23,Yes
44,535,2020-05-30,Yes
28,475,2020-06-06,Yes
32,430,2020-06-13,Yes
20,395,2020-06-20,Yes
24,390,2020-06-27,Yes
11,352,2020-07-04,Yes
22,367,2020-07-11,Yes
18,366,2020-07-18,Yes
14,337,2020-07-25,Yes
12,355,2020-08-01,Yes
12,326,2020-08-08,Yes
13,304,2020-08-15,Yes
10,295,2020-08-22,Yes
16,269,2020-08-29,Yes
13,286,2020-09-05,Yes
25,260,2020-09-12,Yes
17,269,2020-09-19,Yes
11,265,2020-09-26,Yes
13,181,2020-10-03,Yes
19,127,2020-10-10,Yes
16,124,2020-10-17,Yes
11,120,2020-10-24,Yes
26,104,2020-10-31,Yes
26,113,2020-11-07,Yes
26,104,2020-11-14,Yes
21,146,2020-11-21,Yes
55,132,2020-11-28,Yes
64,194,2020-12-05,Yes
35,180,2020-12-12,Yes
29,196,2020-12-19,Yes
32,205,2020-12-26,Yes
24,243,2021-01-02,Yes
30,276,2021-01-09,Yes
35,289,2021-01-16,Yes
35,252,2021-01-23,Yes
24,220,2021-01-30,Yes
95,194,2021-02-06,Yes
74,219,2021-02-13,Yes
50,223,2021-02-20,Yes
35,250,2021-02-27,Yes
47,202,2021-03-06,Yes
46,217,2021-03-13,Yes
33,198,2021-03-20,Yes
22,201,2021-03-27,Yes
17,148,2021-04-03,Yes
78,152,2021-04-10,Yes
