initial_claims,continued_claims,week_ending,Appalachia
109,864,2020-01-04,No
113,893,2020-01-11,No
76,842,2020-01-18,No
76,831,2020-02-01,No
106,818,2020-02-08,No
66,848,2020-02-15,No
64,828,2020-02-22,No
60,800,2020-02-29,No
91,778,2020-03-07,No
86,744,2020-03-14,No
3233,782,2020-03-21,No
4034,3188,2020-03-28,No
4085,6604,2020-04-04,No
2469,9484,2020-04-11,No
1920,11420,2020-04-18,No
1545,12357,2020-04-25,No
1122,12081,2020-05-02,No
997,11892,2020-05-09,No
706,11114,2020-05-16,No
631,10049,2020-05-23,No
491,8796,2020-05-30,No
506,8120,2020-06-06,No
438,7384,2020-06-13,No
459,7032,2020-06-20,No
453,6722,2020-06-27,No
454,6356,2020-07-04,No
462,6438,2020-07-11,No
420,6158,2020-07-18,No
379,6074,2020-07-25,No
384,5833,2020-08-01,No
283,5531,2020-08-08,No
302,5228,2020-08-15,No
206,4984,2020-08-22,No
210,4726,2020-08-29,No
205,4595,2020-09-05,No
180,4378,2020-09-12,No
217,4317,2020-09-19,No
235,4063,2020-09-26,No
216,3250,2020-10-03,No
277,2811,2020-10-10,No
231,2553,2020-10-17,No
217,2281,2020-10-24,No
218,2233,2020-10-31,No
312,1901,2020-11-07,No
218,2233,2020-11-14,No
352,1923,2020-11-21,No
407,1887,2020-11-28,No
466,2010,2020-12-05,No
471,2011,2020-12-12,No
478,1966,2020-12-19,No
471,1900,2020-12-26,No
432,2224,2021-01-02,No
680,2851,2021-01-09,No
726,2679,2021-01-16,No
947,2720,2021-01-23,No
866,2191,2021-01-30,No
2081,2195,2021-02-06,No
