initial_claims,continued_claims,week_ending,Appalachia
68,448,2020-01-04,Yes
60,478,2020-01-11,Yes
50,440,2020-01-18,Yes
41,468,2020-02-01,Yes
42,470,2020-02-08,Yes
42,468,2020-02-15,Yes
35,462,2020-02-22,Yes
37,430,2020-02-29,Yes
37,423,2020-03-07,Yes
43,401,2020-03-14,Yes
617,401,2020-03-21,Yes
856,814,2020-03-28,Yes
773,1562,2020-04-04,Yes
498,2091,2020-04-11,Yes
356,2305,2020-04-18,Yes
379,2428,2020-04-25,Yes
202,2421,2020-05-02,Yes
181,2242,2020-05-09,Yes
215,2151,2020-05-16,Yes
270,1965,2020-05-23,Yes
178,1913,2020-05-30,Yes
135,1742,2020-06-06,Yes
112,1587,2020-06-13,Yes
170,1557,2020-06-20,Yes
222,1577,2020-06-27,Yes
103,1428,2020-07-04,Yes
174,1425,2020-07-11,Yes
103,1358,2020-07-18,Yes
77,1371,2020-07-25,Yes
137,1276,2020-08-01,Yes
69,1182,2020-08-08,Yes
80,1073,2020-08-15,Yes
72,1035,2020-08-22,Yes
55,981,2020-08-29,Yes
69,985,2020-09-05,Yes
52,913,2020-09-12,Yes
66,973,2020-09-19,Yes
56,849,2020-09-26,Yes
79,659,2020-10-03,Yes
83,537,2020-10-10,Yes
69,559,2020-10-17,Yes
72,530,2020-10-24,Yes
71,498,2020-10-31,Yes
142,496,2020-11-07,Yes
71,498,2020-11-14,Yes
156,509,2020-11-21,Yes
161,533,2020-11-28,Yes
198,652,2020-12-05,Yes
165,688,2020-12-12,Yes
156,698,2020-12-19,Yes
142,682,2020-12-26,Yes
174,803,2021-01-02,Yes
144,914,2021-01-09,Yes
172,899,2021-01-16,Yes
184,898,2021-01-23,Yes
