initial_claims,continued_claims,week_ending,Appalachia
105,637,2020-01-04,No
101,691,2020-01-11,No
88,636,2020-01-18,No
68,601,2020-02-01,No
68,593,2020-02-08,No
69,577,2020-02-15,No
67,598,2020-02-22,No
279,573,2020-02-29,No
95,755,2020-03-07,No
82,568,2020-03-14,No
2179,560,2020-03-21,No
4029,2222,2020-03-28,No
2727,5664,2020-04-04,No
2018,7818,2020-04-11,No
1263,9055,2020-04-18,No
953,9599,2020-04-25,No
603,9359,2020-05-02,No
511,8885,2020-05-09,No
502,8437,2020-05-16,No
434,7437,2020-05-23,No
317,6485,2020-05-30,No
328,5748,2020-06-06,No
282,4911,2020-06-13,No
312,4445,2020-06-20,No
361,4217,2020-06-27,No
275,3914,2020-07-04,No
284,3814,2020-07-11,No
299,3797,2020-07-18,No
282,3728,2020-07-25,No
241,3566,2020-08-01,No
186,3152,2020-08-08,No
191,2907,2020-08-15,No
203,2801,2020-08-22,No
172,2651,2020-08-29,No
171,2614,2020-09-05,No
154,2475,2020-09-12,No
159,2454,2020-09-19,No
149,2344,2020-09-26,No
183,1740,2020-10-03,No
163,1631,2020-10-10,No
189,1405,2020-10-17,No
153,1363,2020-10-24,No
188,1344,2020-10-31,No
223,1170,2020-11-07,No
188,1344,2020-11-14,No
314,1183,2020-11-21,No
281,1201,2020-11-28,No
342,1264,2020-12-05,No
338,1379,2020-12-12,No
317,1314,2020-12-19,No
287,1378,2020-12-26,No
287,1491,2021-01-02,No
357,1779,2021-01-09,No
359,1775,2021-01-16,No
395,1685,2021-01-23,No
409,1326,2021-01-30,No
1263,1310,2021-02-06,No
